Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-02-03,57.4388,58.0666,55.6605,55.8347,1057131.3075983
2021-02-04,55.6254,56.8631,55.277,55.5033,827689.61255065
2021-02-05,55.7827,58.5552,55.6946,57.543,803384.96628215
2021-02-08,58.4151,58.8337,56.8811,57.1074,744705.98567643
2021-02-09,57.1074,57.4738,56.2704,56.4095,300313.63828504
2021-02-10,56.4625,57.2817,55.6425,55.9039,376092.38330469
2021-02-11,56.1481,57.9795,55.7126,57.631,535376.94490491
2021-02-12,57.543,57.543,55.974,56.3754,518639.0390295
2021-02-15,56.6718,58.0837,56.3925,57.578,728565.98144773
2021-02-16,57.7873,60.682,57.3867,59.8971,1283174.8726166
2021-02-17,59.9321,59.9321,58.0315,58.1537,1935717.1586494
2021-02-18,58.1537,59.7928,57.7352,58.8516,1547572.1024849
2021-02-19,58.9208,59.5135,57.9615,58.5722,1026867.6862586
2021-02-22,58.2408,58.2408,57.2125,57.6651,648211.11767947
2021-02-23,58.0666,58.7465,55.8518,57.0904,813025.9911591
2021-02-24,56.8811,57.526,56.6718,57.1945,683933.79260175
2021-02-25,58.6244,60.9963,58.5894,59.4614,2117482.599484
2021-02-26,58.6594,60.5949,58.0837,59.1129,1468155.844095
2021-03-01,60.0892,62.6696,59.5835,62.4603,1450458.1780344
2021-03-02,62.2339,64.2216,61.5712,62.4262,1534373.7298216
2021-03-03,62.3391,64.8493,62.3391,63.5767,1431450.0273588
2021-03-04,63.0189,63.5596,61.6933,62.9839,967815.71300551
2021-03-05,62.8968,63.2102,61.9726,62.2519,624516.62057745
2021-03-08,62.5654,63.4546,61.5712,63.3324,939859.07902522
2021-03-09,63.3324,65.2679,63.2282,63.821,1184842.8766549
2021-03-10,63.7339,64.9195,63.7159,64.6752,835738.45985813
2021-03-11,64.6931,64.9365,62.4783,63.2974,1439221.6353553
2021-03-12,63.2974,64.8153,62.3562,64.0303,585539.44563031
2021-03-15,64.0123,65.7394,63.7859,64.623,492727.74085
2021-03-16,64.606,64.9195,62.9669,63.1232,635018.31207063
2021-03-17,62.7746,62.7746,60.7691,61.2928,2010346.8636329
2021-03-18,61.8855,63.1762,61.7112,62.7396,1156557.7864627
2021-03-19,62.4603,62.7226,61.0305,61.1005,1647489.5955508
2021-03-22,61.1185,62.4262,60.8562,61.1185,713680.79128953
2021-03-23,62.2519,62.5133,61.2227,62.1989,990237.58146284
2021-03-24,61.9026,61.9026,60.5949,60.7171,730996.55741567
2021-03-25,61.1005,61.8335,59.7758,60.1592,972572.20431794
2021-03-26,60.5949,62.0248,60.5949,61.5891,538157.1318916
2021-03-29,61.6582,62.4603,61.4841,62.1298,480942.28660326
2021-03-30,62.3391,62.7576,61.4669,62.1298,559525.71364913
2021-03-31,62.5825,63.001,61.5191,61.5712,577666.51724309
2021-04-01,61.9026,62.3041,61.2748,62.3041,446721.60296854
2021-04-06,62.3391,63.821,62.3041,63.3503,742456.89568319
2021-04-07,63.3503,64.2916,62.9139,64.0823,885810.77430161
2021-04-08,64.4309,64.4309,63.054,63.4375,609797.32864152
2021-04-09,63.6989,63.9952,62.8789,63.6288,1705915.831885
2021-04-12,63.7339,65.39,63.2453,64.9365,579466.90264857
2021-04-13,65.1116,65.1116,63.9602,64.9365,341250.41639461
2021-04-14,64.9715,65.6173,64.9545,65.5643,586257.5956529
2021-04-15,65.6343,66.2622,64.9715,66.2622,566789.60628075
2021-04-16,66.2622,66.8199,65.6865,66.4714,824857.09525224
2021-04-19,66.2622,67.8142,65.9307,66.245,690915.99227877
2021-04-20,66.157,66.6807,65.5643,66.2622,620243.3495903
2021-04-21,66.2622,66.5064,65.5823,66.5064,460925.38566345
2021-04-22,66.6977,66.9942,66.1921,66.8549,286770.10824656
2021-04-23,67.0292,67.0992,65.5823,66.245,756181.91169637
2021-04-26,66.245,66.89,65.8606,66.7507,738617.85494226
